의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2107134,21,전자상거래 등에서의 소비자보호에 관한 법률 일부개정법률안,홍성국의원등12인,홍성국,"강선우,노웅래,민형배,양기대,오영환,윤건영,윤준병,이개호,이용우,이장섭,홍익표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2P0D1R2E2M4C0T9N5N6T2G1H3H4T0&ageFrom=21&ageTo=21,정무위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_O2P0D1R2E2M4C0T9N5N6T2G1H3H4T0
2107133,21,북한이탈주민의 보호 및 정착지원에 관한 법률 일부개정법률안,지성호의원 등 10인,지성호,"권영세,박대수,서일준,성일종,윤창현,정진석,정찬민,최춘식,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2P1I0I1I0B4V1E1N5S4O3P2E0D2T8&ageFrom=21&ageTo=21,외교통일위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2P1I0I1I0B4V1E1N5S4O3P2E0D2T8
2107132,21,기부금품의 모집 및 사용에 관한 법률 일부개정법률안,한정애의원 등 14인,한정애,"강병원,김상희,김영배,김진표,박성준,박홍근,설훈,양경숙,이광재,이수진,임호선,전혜숙,최기상",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2Z1V0Q1W0G4C1U1K2A8T2H9P8Y5R2&ageFrom=21&ageTo=21,행정안전위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2Z1V0Q1W0G4C1U1K2A8T2H9P8Y5R2
2107131,21,공직선거법 일부개정법률안,고용진의원 등 14인,고용진,"강선우,권칠승,김경만,김교흥,김영배,맹성규,박성준,안규백,양정숙,윤미향,이광재,이성만,이탄희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2F1X0I1H0L4B1Q1R2W0E5T6K6A8R0&ageFrom=21&ageTo=21,행정안전위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2F1X0I1H0L4B1Q1R2W0E5T6K6A8R0
2107130,21,주민등록법 일부개정법률안,이영의원등11인,이영,"강민국,김병욱,서일준,송언석,임이자,최춘식,추경호,한기호,허은아,홍문표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2O0G1W1G2U6V1M2J5E4Z3N4C4B2P0&ageFrom=21&ageTo=21,행정안전위원회,2021-01-04,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2O0G1W1G2U6V1M2J5E4Z3N4C4B2P0
2107129,21,산업안전보건법 일부개정법률안,임오경의원 등 11인,임오경,"김남국,김민철,김승원,서영석,오영환,이병훈,이수진,이해식,최혜영,한병도",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2J1P0X1I0A4G1W0M0K9O2N2R0L9X5&ageFrom=21&ageTo=21,환경노동위원회,2021-01-04,대안반영폐기,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2J1P0X1I0A4G1W0M0K9O2N2R0L9X5
2107128,21,검사징계법 일부개정법률안,이수진의원등20인,이수진,"권인숙,김경만,김남국,김병기,김승원,문진석,민형배,박찬대,설훈,신동근,유정주,이규민,이병훈,이용빈,이용선,임오경,임호선,정청래,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2T0F1K2G3F0L1X3S4E9E4O7P9M9R5&ageFrom=21&ageTo=21,법제사법위원회,2020-12-31,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2T0F1K2G3F0L1X3S4E9E4O7P9M9R5
2107126,21,전기사업법 일부개정법률안,이규민의원등12인,이규민,"김남국,김성환,김승원,김정호,김홍걸,민형배,윤미향,이동주,이장섭,임오경,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_S2D0Q1F2F2W4C1H0Y1A0O5I5C2J1F9&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2020-12-31,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_S2D0Q1F2F2W4C1H0Y1A0O5I5C2J1F9
2107125,21,국가재정법 일부개정법률안,이규민의원등11인,이규민,"김남국,김승원,박상혁,오영환,윤미향,이동주,임오경,조오섭,홍기원,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2G0L1S2J2N8S0A9N2T3U0T9N7Z7B4&ageFrom=21&ageTo=21,기획재정위원회,2020-12-31,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2G0L1S2J2N8S0A9N2T3U0T9N7Z7B4
2107124,21,가축분뇨의 관리 및 이용에 관한 법률 일부개정법률안,이규민의원 등 14인,이규민,"김남국,박상혁,박찬대,서삼석,송영길,윤미향,이동주,임오경,조오섭,허영,홍기원,홍성국,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2D0P1U2F3U0X1C1W2R0H1W1B5L6J0&ageFrom=21&ageTo=21,환경노동위원회,2020-12-31,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2D0P1U2F3U0X1C1W2R0H1W1B5L6J0
